Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN
1999-12-31,26.81153106689453,6.7843971252441415,,18.375,,1.143539309501648,16.693561553955078,14.46875,,28.904354095458984,5.678536891937256,47.98077774047852,18.413864135742188,327.625,7.740581035614014,5.879866600036621,15.358007431030273,7.53125,
2000-01-03,25.852766036987305,6.5391788482666025,,18.25,,1.227554202079773,16.274673461914062,15.5,,28.034320831298828,5.385210514068604,44.68379974365234,18.00238800048828,321.25,7.713035106658935,5.5159640312194815,15.08645248413086,7.375,
2000-01-04,24.82549285888672,6.3523430824279785,,17.8125,,1.1902146339416504,14.909400939941404,14.625,,26.92262077331543,5.242306709289551,41.27046585083008,17.453739166259766,300.0,7.616623401641847,5.5159640312194815,14.754547119140625,6.9375,
2000-01-05,25.544591903686523,6.340668201446532,,18.0,,1.1948819160461426,15.20417308807373,15.0,,27.212635040283203,5.2122230529785165,38.71043395996094,17.55660057067871,283.5,7.657941818237305,5.611727714538574,14.482990264892578,7.28125,
2000-01-06,27.5991153717041,6.5625343322753915,,18.03125,,1.171544075012207,15.328289985656738,16.0,,27.43013572692871,5.317519187927246,37.23649597167969,18.72247695922852,236.125,7.664830684661865,5.803256034851074,14.211438179016113,7.75,
2000-01-07,28.14698028564453,6.632594585418701,,17.9375,,1.2042169570922852,16.072982788085938,16.25,,27.96181678771973,5.422816276550293,40.33953475952149,20.025508880615234,248.375,7.9471797943115225,5.7074928283691415,14.482990264892578,8.25,
2000-01-10,28.01000595092773,6.585886478424072,,20.5,,1.2648946046829224,16.693561553955078,17.5,,29.21853828430176,5.099401950836182,42.783180236816406,18.791057586669922,285.5,7.809446811676025,5.68834114074707,14.66402816772461,8.28125,
2000-01-11,27.530635833740234,6.492469787597656,,19.8125,,1.3209048509597778,15.545493125915527,17.25,,29.363540649414066,4.994105815887451,42.20136260986328,17.93379783630371,278.4375,7.809446811676025,5.669186592102051,14.694208145141602,7.5,
2000-01-12,27.5991153717041,6.434139728546143,,19.59375,,1.2648946046829224,15.467921257019045,18.125,,29.96772766113281,4.911368370056152,41.3480224609375,18.24241065979004,254.0,7.58907413482666,5.7074928283691415,14.482990264892578,7.40625,
2000-01-13,27.5991153717041,6.37510871887207,,21.0,,1.278897047042847,16.290189743041992,18.875,,30.475238800048828,5.024188995361328,41.9686393737793,18.10525131225586,232.8125,7.575302124023437,5.784102916717528,14.543342590332033,8.71875,
2000-01-14,27.20531463623047,6.516781806945801,,21.375,,1.2648946046829224,16.460847854614258,20.1875,,32.191123962402344,5.167092323303223,42.4340934753418,17.762344360351562,230.0,7.533979415893555,5.669186592102051,14.63386058807373,8.65625,
2000-01-18,26.60609245300293,6.37510871887207,,26.0,,1.2695618867874146,15.88680934906006,19.5,,30.13688850402832,4.813592910766602,44.37350463867188,16.905096054077152,211.5,7.520210266113281,5.5542707443237305,14.66402816772461,8.265625,
2000-01-19,27.06835174560547,6.245245933532715,,24.375,,1.250892162322998,15.669607162475586,19.59375,,30.30606460571289,4.527787685394287,43.44258117675781,16.939382553100586,224.75,7.3411545753479,5.573422908782959,14.603689193725586,8.53125,
2000-01-20,26.0582275390625,6.0563597679138175,,23.5,,1.1808794736862185,15.840267181396484,19.5,,30.04022979736328,4.896329402923584,42.2789306640625,16.390741348266598,234.0,7.16210412979126,5.496810436248778,14.603689193725586,9.96875,
2000-01-21,26.00685691833496,5.891074180603027,,29.4375,,1.1295368671417236,15.607548713684082,18.9375,,30.934423446655273,4.66317081451416,42.66681671142578,15.87639045715332,269.0,7.0105977058410645,5.573422908782959,14.543342590332033,11.03125,
2000-01-24,25.40762138366699,5.666765213012695,,31.375,,1.120201826095581,15.033514022827148,17.25,,30.934423446655273,4.610518932342528,42.511661529541016,16.562191009521484,262.0625,6.638719081878662,5.477656841278076,14.482990264892578,11.765625,
2000-01-25,25.03095245361328,5.595930576324463,,28.75,,1.0828617811203003,15.638579368591307,20.0,,29.38770294189453,4.8060736656188965,42.00743103027344,17.042259216308597,279.3125,6.721358299255371,5.247826099395752,14.452824592590332,11.90625,
2000-01-26,26.383514404296875,5.607736587524414,,28.875,,1.185546875,15.18865966796875,18.5,,28.01015853881836,5.046752452850342,42.395301818847656,17.282291412353516,277.5,7.1070098876953125,5.43935489654541,14.332124710083008,12.15625,
2000-01-27,26.366390228271484,5.820241928100586,,29.0,,1.2835646867752075,15.561006546020508,18.46875,,29.339370727539066,4.956498146057129,42.47288131713867,16.939382553100586,281.125,7.024370670318604,5.535117149353027,14.513171195983887,11.890625,
2000-01-28,25.270647048950195,6.020939826965332,,29.4375,,1.2228869199752808,14.288822174072266,17.625,,29.53270721435547,5.054272174835205,42.24015426635742,16.356447219848633,270.0625,7.189650058746338,5.401049137115479,14.271783828735352,11.8125,
2000-01-31,25.64731216430664,6.150802135467528,,29.25,,1.1668769121170044,13.668240547180176,18.0,,30.98275756835937,5.227262496948242,41.07649993896485,16.25357437133789,249.125,7.024370670318604,5.535117149353027,14.241616249084473,10.9375,
2000-02-01,25.78427314758301,6.209830284118652,,28.75,,1.260226845741272,13.8699312210083,18.28125,,31.224428176879886,5.3325605392456055,44.06318283081055,16.802221298217773,239.0625,6.996824264526367,5.381897449493408,14.362298011779785,11.09375,
2000-02-02,25.339126586914066,6.245245933532715,,28.125,,1.2975671291351318,15.21968936920166,18.03125,,30.66858100891113,5.340083599090576,47.47652816772461,16.66506004333496,233.625,7.0105977058410645,5.401049137115479,14.392478942871096,12.625,
